mu_xi,mu_ep,mu_rho,sigma,xi,ep,rho,log_lik,lp__
0.0295746914225,0.131637258826,7.02478639864,[ 0.44848096  0.02437837  0.14641206],"[ 0.01637471  0.01884679  0.00873463  0.01267336  0.02729554  0.07239818
  0.01051664  0.03121524  0.03598226  0.06295028]","[ 0.13249995  0.13696343  0.1319772   0.13367705  0.12433076  0.12452377
  0.12850612  0.13520611  0.12795831  0.1324713 ]","[ 8.41305412  6.70311728  6.07276208  6.68255166  7.13341843  7.88484165
  5.34381759  6.71426333  6.88350405  5.86663353]","[-75.87006487 -78.15451265 -92.96541434 -61.68373625 -67.34186212
 -87.640696   -82.58767562 -78.40303258 -77.31447961 -89.96331168]",-812.562391028
0.0495131696304,0.161857094281,5.39000068019,[ 0.22938387  0.17124067  0.10168331],"[ 0.03371555  0.03500067  0.02710828  0.0198258   0.03141724  0.01656011
  0.04409909  0.04671929  0.04138794  0.0892297 ]","[ 0.13710206  0.18736213  0.17352894  0.17309447  0.1274316   0.1599727
  0.12620141  0.18492044  0.13304289  0.16058838]","[ 4.91053818  5.33995383  5.13534307  4.96569618  5.87650284  5.1503195
  5.22213129  5.81354429  5.39586508  4.89674169]","[-71.23605608 -77.53711018 -93.49468378 -63.16503807 -67.95175536
 -88.97816655 -82.2866875  -78.62286674 -77.6453603  -89.19600992]",-809.094527844
0.0253263844938,0.155942450622,5.86847899697,[ 0.35215274  0.10512364  0.07821773],"[ 0.02167058  0.03056925  0.04555782  0.01487455  0.02772965  0.05548653
  0.03471775  0.01032375  0.00785745  0.02503606]","[ 0.14787519  0.18477134  0.12148428  0.14006008  0.15382885  0.16058117
  0.13591025  0.16432473  0.17292919  0.12762408]","[ 5.2555039   6.10129509  5.47808088  6.34870248  5.57533592  6.62861588
  6.10701075  5.77008544  4.97055203  5.3344225 ]","[-70.96141211 -77.37167258 -90.67719333 -61.86213771 -67.60473387
 -87.49981874 -82.47844667 -77.97043401 -77.57746611 -90.34117969]",-806.571026738
0.0383192797971,0.188707043503,5.27581739794,[ 0.29280066  0.18410651  0.00071226],"[ 0.0574801   0.02332604  0.02537123  0.00731673  0.02526377  0.09421966
  0.08232168  0.01704864  0.02607012  0.04975361]","[ 0.12849941  0.21333036  0.10809654  0.15229449  0.21369178  0.21449834
  0.12486947  0.20969111  0.10260013  0.12031935]","[ 5.28201968  5.27314961  5.27452562  5.27824986  5.27518148  5.27245779
  5.27644833  5.27662652  5.2754387   5.28247322]","[-71.41945522 -77.0296248  -90.43837842 -62.2972014  -67.95370442
 -89.03137901 -82.93344385 -78.42782369 -79.43406735 -89.05452778]",-819.953051933
0.023089711949,0.185956183968,5.21957679158,[ 0.35896203  0.15641584  0.14038062],"[ 0.0403945   0.00725278  0.04769711  0.04860718  0.02546678  0.01067481
  0.0319327   0.0152073   0.05498229  0.01658246]","[ 0.16015602  0.1998983   0.14557133  0.25736511  0.23363794  0.17326299
  0.18554665  0.18156535  0.14591005  0.17053525]","[ 4.99231063  5.14227747  4.94492847  5.08708671  5.23912065  5.34300139
  4.64091477  6.08235058  5.30489073  4.16694129]","[-71.10007952 -76.98068057 -91.72084008 -64.80013775 -68.23710999
 -88.82070644 -81.36677706 -77.44708561 -77.69415697 -89.33966911]",-804.805389312
0.0448073784119,0.168483845036,6.40898950682,[ 0.21989369  0.17228627  0.1533134 ],"[ 0.03011143  0.03540594  0.04526003  0.01944808  0.03113379  0.04778821
  0.05413602  0.03721392  0.11078889  0.09014203]","[ 0.1697547   0.15456377  0.09919161  0.10174535  0.1145197   0.18453905
  0.21761717  0.15045088  0.21640629  0.11399371]","[ 5.49908293  7.55302103  6.05650158  7.4690888   7.63532055  8.89487679
  4.82199254  7.06417184  6.13709206  8.10794323]","[-71.50492129 -78.41743189 -90.06248762 -62.22428298 -67.37325822
 -88.75747291 -81.46268059 -77.58179321 -78.14892879 -91.82557897]",-816.569963946
0.00188406171483,0.131937095681,5.00248633644,[ 3.38795362  0.12706575  0.1986405 ],"[  2.32834762e-16   4.71770274e-06   1.20584177e-01   1.16680087e-05
   3.11075485e-03   1.14057207e-06   8.19129624e-06   5.82974012e-08
   1.06298568e-22   3.60933060e-05]","[ 0.13186436  0.20559788  0.11620452  0.13704391  0.13798776  0.14791961
  0.12827295  0.16415697  0.17818942  0.10267076]","[ 4.97911122  5.50954982  7.75151581  7.32312976  6.85563614  5.28189678
  4.90582361  6.15874344  5.29650424  3.53219935]","[-71.42053916 -77.11752279 -90.43890192 -61.62294416 -67.80081667
 -88.98094614 -82.67158482 -77.22535083 -78.35102496 -90.78769221]",-811.367435694
0.0353435723155,0.153532585334,5.98559208289,[ 0.07694764  0.16022499  0.10207755],"[ 0.04250298  0.03214701  0.04180073  0.03717037  0.03443306  0.03186659
  0.03464394  0.02686464  0.02822416  0.03077583]","[ 0.14151727  0.26433035  0.11349412  0.18379032  0.19050994  0.16530849
  0.12421383  0.15668797  0.17605702  0.19813729]","[ 6.3880899   5.81447348  5.75067388  5.34372735  5.34611509  5.29604139
  6.27558707  6.28135672  6.30983513  4.75519049]","[-71.09838097 -77.55535823 -90.39226984 -63.51645539 -67.8891826
 -88.74703623 -82.64906511 -77.90336461 -78.56537925 -91.07166981]",-814.464589691
0.00801643998824,0.143274844561,5.09713623822,[ 1.10396318  0.04978998  0.00663292],"[  2.12261782e-02   3.67267159e-03   2.47708329e-02   2.22954885e-03
   3.92522924e-04   3.62624457e-04   2.30313940e-02   3.63471078e-04
   2.50027254e-05   1.61314753e-02]","[ 0.14082866  0.16028659  0.13496932  0.15718855  0.17343483  0.15400695
  0.13292558  0.16370588  0.12810934  0.15310292]","[ 5.1524202   5.03595344  5.04563839  5.06155363  5.0775709   5.05066319
  5.13026081  5.11302808  5.10592621  5.04235594]","[-70.91985617 -78.04197052 -91.2776155  -62.29977301 -67.24322593
 -89.16100701 -82.09927598 -79.27436841 -77.77900127 -91.22924465]",-821.187821137
0.048778231462,0.145372783966,6.74150336749,[ 1.22148758  0.02698497  0.0210903 ],"[ 0.05175364  0.00219988  0.06347212  0.00090205  0.05538351  0.00043509
  0.0830748   0.00128615  0.10999795  0.15245505]","[ 0.14324554  0.14993461  0.1506877   0.13765504  0.1414268   0.15150587
  0.14171698  0.14077631  0.14574239  0.14555602]","[ 6.68211201  6.69454211  6.65628946  6.79114298  6.81310926  6.79644232
  6.62871267  6.78262749  6.80881817  6.74200645]","[-71.30409774 -78.6464642  -92.41780981 -61.24950626 -68.05293262
 -90.28502547 -82.06233598 -77.33787402 -77.50595628 -90.47041025]",-806.995381582
